1502942400,4308.83,190952.85
1502946000,4315.32,100304.82
1502949600,4324.35,31282.31
1502953200,4349.99,19241.06
1502956800,4360.69,4139.7
1502960400,4444,47219.36
1502964000,4460,106203.72
1502967600,4427.3,120751.57
1502971200,4411,102126.52
1502974800,4459,136515.55
1502978400,4470.82,230871.45
1502982000,4352.34,299224.79
1502985600,4354.18,289379.63
1502989200,4354.18,256367.56
1502992800,4256.97,218259.36
1502996400,4325.23,197425.28
1503000000,4325.23,210501.53
1503003600,4333.55,268227.11
1503007200,4336.8,248368.28
1503010800,4285.08,350806.21
1503014400,4286.53,337549.35
1503018000,4243.59,304223.23
1503021600,4267.59,230478.63
1503025200,4292.39,271281.6
1503028800,4287.92,216069.15
1503032400,4313.56,274857.3
1503036000,4279.46,274013.68
1503039600,4300.25,295447.38
1503043200,4282.73,316938.59
1503046800,4304.15,196232.32
1503050400,4356.31,223471
1503054000,4340.31,104474.98
1503057600,4336.52,65468.18
1503061200,4261.99,72942.01
1503064800,4259.4,302601.43
1503068400,4236.89,168642.65
1503072000,4250.34,189710.83
1503075600,4193.35,261924.27
1503079200,4117.41,104309.76
1503082800,4136.28,243223.71
1503086400,4021.11,76391.96
1503090000,3975.69,58041.32
1503093600,4113.75,117307.1
1503097200,4108.37,184792.57
1503100800,4163.49,169694.17
1503104400,4148.53,120196.97
1503108000,4156.39,77993.68
1503111600,4138.55,71698.58
1503115200,4068.26,67042.24
1503118800,4077,47094.85
1503122400,3986.87,201920.41
1503126000,4033.47,125576.7
1503129600,3999,71927.23
1503133200,4068.2,18603.5
1503136800,4000.58,20424.67
1503140400,3957.6,184198.27
1503144000,4095,89392.01
1503147600,4039.84,51761.33
1503151200,4042.41,17180.05
1503154800,3972.05,32834.24
1503158400,4000,15000.33
1503162000,4027.37,12263.25
1503165600,4086.29,68501.09
1503169200,4076.12,6637.28
1503172800,4075.98,12154.59
1503176400,4074.23,16200.7
1503180000,4139.98,9725.39
1503183600,4139.98,217.87
1503187200,4086.09,9598.79
1503190800,4082.53,4322.96
1503194400,4124.69,9723.1
1503198000,4094.62,1428.52
1503201600,4093,3313.4
1503205200,4117.41,44122.84
1503208800,4115.41,11945.53
1503212400,4155.87,58157.4
1503216000,4184.73,67509.43
1503219600,4155,1645.26
1503223200,4142.41,3915.52
1503226800,4106.53,70777.46
1503230400,4108.47,11257.89
1503234000,4063.35,5114.58
1503237600,4096.32,6001.14
1503241200,4125,97052.03
1503244800,4131.46,95236.86
1503248400,4129,202834.01
1503252000,4154.56,198738.21
1503255600,4164.6,201272.01
1503259200,4140.93,220263.55
1503262800,4150,147963.48
1503266400,4169.98,156415.41
1503270000,4086.29,287026.99
1503273600,4108.28,215910.06
1503277200,4094.6,229146.59
1503280800,4079.94,238646.78
1503284400,4084.76,215192.15
1503288000,4104.68,161090
1503291600,4016.9,270472.59
1503295200,3982.96,265785.06
1503298800,4043.63,197915.55
1503302400,4036.3,220805.54
1503306000,4074,15774.01
1503309600,4088.1,20748.78
1503313200,4023.11,48349.59
1503316800,4000,25904.4
1503320400,3951.49,87954.94
1503324000,3989.17,29130.15
1503327600,4022,29516.9
1503331200,4029.05,29255.73
1503334800,4016.2,20279.25
1503338400,3918.8,14961.74
1503342000,4027.05,32340.39
1503345600,4025.04,124680.48
1503349200,4039.1,158477.26
1503352800,4041.1,75144.78
1503356400,4016,43109.35
1503360000,3790,232104.98
1503363600,3700,103817.75
1503367200,3849.98,31846.37
1503370800,3862.39,61001.83
1503374400,3500.8,104276.67
1503378000,3626.99,50315.1
1503381600,3803,207669.07
1503385200,3798.08,233056.82
1503388800,3794.12,137109.42
1503392400,3904.56,290435.21
1503396000,3844.08,228602.5
1503399600,3866.48,189179.51
1503403200,3934.01,281731.35
1503406800,3920.99,144831.65
1503410400,3849,100861.79
1503414000,3858.23,137407.49
1503417600,3905.84,133182.5
1503421200,3943,178680.01
1503424800,4043.76,179328.43
1503428400,3984.24,135938.88
1503432000,3960.29,119217.64
1503435600,3946.67,82136.93
1503439200,4002,124367.17
1503442800,4040,161627.43
1503446400,4036,96279.69
1503450000,4100,187383.62
1503453600,4083.72,187116.36
1503457200,4100.41,175706.49
1503460800,4083.6,152209.67
1503464400,4053.18,133332.36
1503468000,4080,144551.65
1503471600,4074.88,142562.81
1503475200,4124,148515.5
1503478800,4203.12,162392.59
1503482400,4228.02,100681.13
1503486000,4237.99,129989.94
1503489600,4215.68,244801.67
1503493200,4211,332126.57
1503496800,4174,240554.5
1503500400,4197.05,146660.39
1503504000,4210.03,299403.33
1503507600,4166.27,162992.33
1503511200,4143.37,131452.47
1503514800,4117.07,130057.55
1503518400,4118.4,173818.07
1503522000,4090,159280.6
1503525600,4114.2,110305.1
1503529200,4114.01,170332.13
1503532800,4131,123230.84
1503536400,4140.91,123891.6
1503540000,4131.92,113622.43
1503543600,4113.58,142808.72
1503547200,4113.98,129967.44
1503550800,4132.09,115749.06
1503554400,4133.42,119013.45
1503558000,4153.32,133638.4
1503561600,4200,133941.24
1503565200,4165.01,157448.69
1503568800,4173.98,256887.06
1503572400,4202,134786.18
1503576000,4150.89,129635.68
1503579600,4157.74,158769.72
1503583200,4221,217588.8
1503586800,4222,101135.93
1503590400,4215,122844.71
1503594000,4188.18,115785.73
1503597600,4221,117062.33
1503601200,4216.07,112561.63
1503604800,4193.5,95110.46
1503608400,4207,100086.47
1503612000,4326.23,116010.23
1503615600,4316.01,153828.99
1503619200,4366,203626.64
1503622800,4333.01,159049.81
1503626400,4363.71,119674
1503630000,4312.69,122050.42
