1558188000,10.89,307762.79
1558191600,11.01,577880.74
1558195200,10.98,549122.47
1558198800,10.82,336923.34
1558202400,10.89,191143.63
1558206000,10.86,131039.91
1558209600,10.86,84987.2
1558213200,10.86,149935.18
1558216800,10.81,115795.45
1558220400,10.7,657903.64
1558224000,10.68,278320.74
1558227600,11.12,1181726.61
1558231200,11.15,880159.66
1558234800,11.33,807928.59
1558238400,11.37,825548.78
1558242000,11.32,647123.06
1558245600,11.38,223325.46
1558249200,11.65,844374.26
1558252800,11.55,566130.99
1558256400,11.77,456426.04
1558260000,11.77,615308.89
1558263600,11.56,610408.98
1558267200,11.51,953304.02
1558270800,11.38,456707.7
1558274400,11.4,582413.3
1558278000,11.46,437258.32
1558281600,11.4,203852.33
1558285200,11.55,613157.29
1558288800,11.46,265444.43
1558292400,11.44,238463.4
1558296000,11.51,269100.57
1558299600,11.62,301404.56
1558303200,11.71,485860.9
1558306800,11.66,697870.3
1558310400,11.22,1627867.5
1558314000,11.3,528631.74
1558317600,11.18,214882.56
1558321200,11.45,423977.8
1558324800,11.32,335511.77
1558328400,11.33,147075.18
1558332000,11.12,256295.52
1558335600,11.13,273221.61
1558339200,11.1,342738.34
1558342800,11.18,317348.1
1558346400,11.18,186414.79
1558350000,11.05,272233.26
1558353600,10.89,576677.89
1558357200,11.08,693993.05
1558360800,11.58,984237.24
1558364400,12.2,2114679.02
1558368000,12.24,2575417.25
1558371600,12.02,1403740.35
1558375200,12.02,948672.49
1558378800,12.1,539047.63
1558382400,12.37,619171.55
1558386000,12.4,207920.59
1558389600,11.99,472894.34
1558393200,12,413343.8
1558396800,12.02,341259.71
1558400400,12.05,380985.2
1558404000,11.94,749151.39
1558407600,11.75,378784.06
1558411200,11.82,517556.66
1558414800,11.81,318029.88
1558418400,11.84,222966.78
1558422000,11.83,441993.86
1558425600,11.9,312490.59
1558429200,12.06,642974.17
1558432800,11.98,514845.56
1558436400,11.85,374836.74
1558440000,11.85,362296.68
1558443600,12.16,985200.19
1558447200,12.2,802529.42
1558450800,12.08,531599.82
1558454400,12.24,917589.82
1558458000,12.55,703968.85
1558461600,12.36,705155.92
1558465200,12.41,361475.24
1558468800,12.35,485373.93
1558472400,12.19,301550.87
1558476000,12.18,321541.49
1558479600,12.08,234646.86
1558483200,12.24,345884.25
1558486800,12.12,236887.65
1558490400,12.16,335620.43
1558494000,12.1,126973.28
1558497600,12.17,297670.37
1558501200,12.23,130250.54
1558504800,12.11,264403.19
1558508400,12.05,203910.53
1558512000,12.12,239254.76
1558515600,11.93,287344.02
1558519200,11.89,474881.97
1558522800,11.63,955571.6
1558526400,11.53,550066.46
1558530000,11.71,275084.42
1558533600,11.8,262715.76
1558537200,11.76,461703.4
1558540800,11.7,339953.09
1558544400,11.68,252728.17
1558548000,11.7,435862.52
1558551600,11.73,157791.1
1558555200,11.48,814209.58
1558558800,11.25,450783.88
1558562400,11.41,519835.91
1558566000,11.15,334992.51
1558569600,11.2,340837.94
1558573200,11.16,260506.73
1558576800,11.35,388419.27
1558580400,11.3,155430.89
1558584000,11.29,225230.49
1558587600,11.08,290928.9
1558591200,11.03,425445.8
1558594800,10.95,295934.12
1558598400,10.87,439322.02
1558602000,10.98,657218.86
1558605600,11.19,392519.73
1558609200,11.07,330701.4
1558612800,11.2,196211.26
1558616400,11.28,263310.67
1558620000,11.4,400366.98
1558623600,11.29,365854.14
1558627200,11.3,139052.6
1558630800,11.2,165647.5
1558634400,11.21,113283.04
1558638000,11.2,114919.86
1558641600,11.32,162773.24
1558645200,11.39,212141.54
1558648800,11.4,153266.77
1558652400,11.41,144042.89
1558656000,11.43,160838.67
1558659600,11.35,155345.51
1558663200,11.28,115288.09
1558666800,11.25,171819.93
1558670400,11.24,109916.56
1558674000,11.22,152931.44
1558677600,11.38,183519.13
1558681200,11.47,421352.94
1558684800,11.55,446707.43
1558688400,11.48,296417.54
1558692000,11.47,220954.53
1558695600,11.68,528496.3
1558699200,11.67,257864.45
1558702800,11.55,340666.91
1558706400,11.67,198720.99
1558710000,11.75,479090.37
1558713600,11.71,450525.11
1558717200,11.55,387949.78
1558720800,11.58,119737.08
1558724400,11.61,270722.74
1558728000,11.82,255498.35
1558731600,11.64,133059.5
1558735200,11.56,97270.45
1558738800,11.52,372165.05
1558742400,11.46,112701.01
1558746000,11.56,196804.89
1558749600,11.58,129626.62
1558753200,11.56,212185.53
1558756800,11.56,107196.35
1558760400,11.44,185215.47
1558764000,11.43,243318.64
1558767600,11.47,107872.65
1558771200,11.62,158297.86
1558774800,11.66,149790.16
1558778400,11.57,161621.32
1558782000,11.54,117930.79
1558785600,11.57,155895.72
1558789200,11.4,228258.08
1558792800,11.45,183991.18
1558796400,11.49,266743.51
1558800000,11.45,191208.86
1558803600,11.45,74697.86
1558807200,11.4,107853.16
1558810800,11.37,116951.81
1558814400,11.34,110752.43
1558818000,11.39,150069.75
1558821600,11.43,75842.89
1558825200,11.42,103235.28
1558828800,11.47,132630.28
1558832400,11.42,63431.42
